iter	Passed	Remaining
354	443709	3305944
355	445102	3305764
356	446708	3307147
357	448233	3307912
358	449614	3307607
359	451012	3307423
360	452467	3307652
361	454130	3309381
362	455764	3310885
363	457451	3312754
364	459003	3313628
365	460569	3314589
366	461980	3314429
367	463631	3315969
368	465185	3316812
369	466820	3318212
370	468741	3321618
371	470338	3322711
372	471748	3322472
373	473301	3323231
374	475194	3326363
375	476643	3326363
376	478159	3326821
377	479661	3327174
378	481158	3327486
379	482872	3329281
380	484429	3329973
381	485917	3330185
382	487294	3329633
383	488788	3329871
384	490266	3329988
385	491663	3329557
386	493170	3329859
387	494530	3329157
388	496020	3329332
389	497545	3329730
390	499259	3331375
391	500773	3331677
392	502315	3332154
393	503986	3333475
394	506016	3337149
395	507465	3336969
396	508878	3336550
397	510434	3337059
398	511933	3337191
399	513361	3336850
400	514810	3336641
401	516456	3337698
402	517960	3337823
403	519392	3337482
404	520903	3337639
405	522593	3338934
406	524093	3339002
407	525575	3338952
408	526931	3338094
409	528463	3338340
410	529895	3337957
411	531274	3337230
412	532787	3337342
413	534182	3336704
414	535701	3336839
415	537259	3337210
416	538622	3336357
417	540094	3336184
418	541579	3336079
419	542992	3335526
420	544438	3335169
421	545822	3334432
422	547214	3333742
423	548968	3335241
424	550375	3334628
425	551796	3334092
426	553174	3333298
427	554524	3332329
428	556228	3333480
429	557753	3333549
430	559533	3335128
431	561098	3335421
432	562564	3335108
433	563955	3334352
434	565331	3333504
435	566784	3333107
436	568267	3332882
437	569868	3333341
438	571281	3332694
439	573054	3334133
440	574501	3333672
441	575990	3333447
442	577416	3332851
443	578824	3332150
444	580669	3333955
445	582292	3334473
446	583768	3334142
447	585329	3334285
448	586803	3333932
449	588166	3332941
450	589691	3332868
451	591171	3332533
452	592690	3332410
453	594385	3333273
454	595911	3333173
455	597335	3332501
456	598725	3331637
457	600099	3330681
458	601620	3330541
459	603130	3330330
460	604903	3331561
461	606380	3331156
462	607893	3330941
463	609317	3330233
464	610732	3329476
465	612235	3329193
466	613633	3328338
467	615151	3328126
468	616854	3328910
469	618392	3328791
470	619981	3328944
471	621644	3329488
472	623051	3328648
473	624511	3328094
474	625939	3327361
475	627440	3327017
476	628887	3326381
477	630267	3325387
478	631910	3325772
479	633356	3325123
480	635013	3325567
481	636843	3326910
482	638291	3326249
483	639720	3325486
484	641220	3325094
485	642841	3325313
486	644396	3325193
487	645831	3324444
488	647380	3324276
489	648736	3323120
490	650170	3322360
491	651572	3321431
492	653329	3322306
493	654752	3321478
494	656988	3324760
495	658505	3324389
496	660051	3324161
497	661535	3323616
498	663261	3324282
499	665034	3325170
500	666523	3324633
501	668151	3324783
502	670122	3326633
503	671555	3325801
504	673097	3325499
505	674661	3325309
506	676517	3326543
507	678113	3326494
508	679649	3326143
509	681421	3326937
510	683177	3327647
511	684619	3326821
512	686221	3326770
513	688074	3327926
514	689621	3327591
515	691076	3326807
516	692537	3326055
517	694154	3326046
518	695707	3325723
519	697152	3324883
520	698621	3324150
521	700052	3323235
522	701482	3322316
523	703045	3322026
524	704492	3321177
525	705949	3320377
526	707527	3320142
527	709057	3319677
528	710592	3319233
529	712119	3318744
530	713688	3318447
531	715187	3317824
532	716731	3317405
533	718364	3317390
534	720125	3317959
535	721598	3317198
536	723041	3316296
537	724573	3315800
538	726033	3314969
539	727580	3314531
540	729140	3314153
541	730649	3313538
542	732199	3313102
543	733762	3312721
544	735534	3313279
545	737233	3313497
546	738699	3312669
547	740330	3312575
548	741874	3312084
549	743285	3311000
550	745128	3311830
551	746637	3311177
552	748220	3310840
553	749972	3311248
554	751527	3310783
555	753079	3310301
556	754652	3309905
557	756300	3309831
558	757760	3308930
559	759360	3308641
560	760854	3307886
561	762375	3307246
562	763926	3306731
563	765361	3305710
564	766911	3305185
565	768284	3303896
566	769774	3303108
567	771227	3302159
568	772758	3301539
569	774313	3301022
570	775797	3300196
571	777748	3301351
572	779269	3300675
573	780740	3299786
574	782480	3300024
575	784041	3299508
576	785605	3298998
577	787189	3298571
578	788767	3298109
579	790343	3297638
580	791826	3296779
581	793490	3296668
582	795032	3296044
583	796841	3296520
584	798302	3295556
585	799750	3294534
586	801379	3294255
587	802916	3293595
588	804728	3294057
589	806193	3293095
590	807634	3292034
591	809207	3291504
592	810684	3290585
593	812155	3289638
594	813787	3289342
595	815259	3288397
596	816840	3287887
597	818361	3287132
598	820142	3287414
599	821804	3287219
600	823292	3286320
601	824762	3285350
602	826336	3284789
603	827898	3284179
604	829690	3284478
605	831125	3283356
606	832908	3283609
607	834433	3282838
608	836092	3282589
609	837715	3282197
610	839123	3280960
611	841175	3282232
612	842834	3281966
613	844345	3281119
614	845830	3280172
615	847292	3279131
616	848765	3278132
617	850364	3277617
618	852068	3277504
619	853580	3276646
620	855157	3276039
621	856563	3274771
622	858070	3273891
623	859569	3272975
624	861055	3272011
625	862568	3271147
626	864075	3270256
627	865807	3270216
628	867175	3268795
629	868620	3267665
630	870375	3267699
631	872128	3267721
632	873966	3268053
633	875515	3267302
634	877117	3266746
635	878658	3265955
636	880055	3264632
637	881638	3263995
638	883123	3262995
639	884449	3261406
640	885966	3260522
641	887457	3259541
642	889239	3259621
643	890774	3258795
644	892287	3257888
645	893782	3256911
646	895437	3256515
647	897130	3256251
648	898633	3255295
649	900122	3254289
650	901641	3253388
651	903065	3252143
652	904597	3251286
653	906242	3250832
654	907748	3249879
655	909217	3248789
656	911050	3248995
657	912437	3247611
658	913947	3246665
659	915409	3245542
660	916836	3244296
661	918277	3243100
662	919800	3242194
663	921308	3241228
664	922687	3239811
665	924080	3238444
666	925482	3237108
667	927018	3236237
668	928760	3236083
669	930443	3235719
670	932298	3235950
671	933714	3234652
672	935340	3234080
673	937089	3233931
674	938765	3233525
675	940164	3232161
676	941625	3231014
677	943311	3230631
678	944820	3229645
679	946216	3228267
680	947926	3227961
681	949440	3226982
682	950978	3226086
683	952474	3225046
684	955326	3228585
685	957384	3229429
686	959102	3229116
687	960535	3227844
688	962114	3227063
689	963773	3226545
690	965355	3225767
691	966897	3224854
692	968545	3224293
693	970091	3223388
694	971829	3223117
695	973360	3222158
696	974743	3220708
697	976219	3219565
698	977973	3219337
699	979662	3218891
700	981195	3217928
701	982643	3216688
702	984160	3215671
703	985872	3215289
704	987613	3214995
705	989150	3214038
706	990569	3212695
707	992062	3211592
708	993842	3211414
709	995210	3209905
710	996712	3208825
711	998254	3207874
712	1000046	3207721
713	1001743	3207264
714	1003269	3206252
715	1004743	3205074
716	1007132	3206811
717	1008694	3205905
718	1010623	3206164
719	1012072	3204897
720	1013775	3204431
721	1015189	3203050
722	1016699	3201970
723	1018194	3200843
724	1019749	3199902
725	1021480	3199512
726	1022951	3198305
727	1024445	3197170
728	1025883	3195858
729	1027537	3195218
730	1028971	3193894
731	1030537	3192977
732	1032295	3192651
733	1033803	3191552
734	1035549	3191184
735	1037352	3190987
