Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
53.0,Secondary or below,Agricultural,Caste,Hindu,45.0,152.9,Secondary or below,Not working,Caste,Hindu,Rural,Telangana,1
43.0,Secondary or below,Sales,Caste,Hindu,36.0,150.3,Secondary or below,Other,Caste,Hindu,Rural,West Bengal,1
49.0,Higher Secondary,Other,Caste,Hindu,43.0,150.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Rajasthan,1
45.0,Secondary or below,Agricultural,Caste,Hindu,40.0,156.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,0
35.0,Secondary or below,Services / household and domestic,Tribe,Other,29.0,145.3,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Urban,Jharkhand,1
33.0,Secondary or below,Agricultural,Caste,Hindu,33.0,158.2,Higher Secondary,Not working,Caste,Hindu,Rural,Himachal Pradesh,1
47.0,Secondary or below,Services / household and domestic,Caste,Hindu,42.0,150.8,Secondary or below,Not working,Caste,Hindu,Urban,Odisha,0
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,158.4,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,0
29.0,Higher Secondary,Not working,Caste,Hindu,27.0,149.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
40.0,Secondary or below,Agricultural,Tribe,Christian,23.0,157.2,Secondary or below,Sales,Tribe,Christian,Rural,Arunachal Pradesh,0
45.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,42.0,149.9,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30.0,147.8,Secondary or below,Not working,Caste,Muslim,Rural,Bihar,1
48.0,Secondary or below,Agricultural,Caste,Hindu,41.0,140.5,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,0
24.0,Secondary or below,Agricultural,Caste,Hindu,20.0,146.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
50.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,33.0,152.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Assam,1
47.0,Secondary or below,Other,Caste,Hindu,45.0,151.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,0
35.0,Secondary or below,Agricultural,Caste,Hindu,27.0,156.6,Higher Secondary,Not working,Caste,Hindu,Rural,Karnataka,1
40.0,Secondary or below,Agricultural,Caste,Muslim,32.0,160.7,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,0
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,159.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
51.0,Secondary or below,Agricultural,Caste,Hindu,47.0,158.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
44.0,Secondary or below,Agricultural,No caste / tribe,Muslim,40.0,152.9,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,0
32.0,Higher Secondary,Agricultural,Caste,Hindu,30.0,156.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,1
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,162.3,Secondary or below,Not working,Caste,Hindu,Urban,Andhra Pradesh,1
29.0,Secondary or below,Agricultural,Caste,Hindu,27.0,152.5,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
