Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
27.0,Secondary or below,Sales,Caste,Muslim,26.0,156.9,Secondary or below,Not working,Caste,Muslim,Rural,Haryana,1
50.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,43.0,149.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,0
45.0,Secondary or below,Clerical,Caste,Hindu,40.0,161.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Andhra Pradesh,0
30.0,Secondary or below,Agricultural,Tribe,Hindu,27.0,141.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Meghalaya,1
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,38.0,152.3,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
38.0,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,35.0,150.6,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,1
44.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,154.2,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,1
29.0,Secondary or below,Agricultural,Caste,Hindu,28.0,140.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
30.0,Secondary or below,Agricultural,Caste,Hindu,19.0,152.7,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
45.0,Secondary or below,Agricultural,Caste,Hindu,35.0,149.2,Secondary or below,Not working,Caste,Hindu,Rural,Telangana,1
38.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,33.0,157.6,Secondary or below,Agricultural,Tribe,Christian,Rural,Manipur,0
45.0,Secondary or below,Agricultural,Caste,Hindu,38.0,165.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Karnataka,0
30.0,Secondary or below,Agricultural,Caste,Muslim,30.0,164.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,0
54.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,146.2,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,149.2,Secondary or below,Not working,Caste,Hindu,Urban,Jharkhand,0
38.0,Secondary or below,Not working,Tribe,Christian,32.0,148.1,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Christian,Urban,Mizoram,1
42.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,36.0,151.1,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Assam,0
47.0,Secondary or below,Agricultural,Caste,Hindu,45.0,151.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
24.0,Secondary or below,Agricultural,Caste,Hindu,20.0,155.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
26.0,Secondary or below,Agricultural,Caste,Hindu,24.0,156.0,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,0
32.0,Secondary or below,Agricultural,Caste,Hindu,27.0,151.3,Secondary or below,Not working,Tribe,Hindu,Rural,Assam,0
39.0,Secondary or below,Agricultural,Caste,Hindu,30.0,150.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
38.0,Secondary or below,Sales,Caste,Hindu,36.0,145.7,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
35.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,29.0,158.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,0
33.0,Secondary or below,Agricultural,Tribe,Hindu,30.0,151.3,Secondary or below,Not working,Don't know,Hindu,Rural,Assam,0
29.0,Higher Secondary,Services / household and domestic,Caste,Hindu,23.0,145.3,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
35.0,Secondary or below,Agricultural,Caste,Hindu,31.0,145.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
24.0,Secondary or below,Not working,No caste / tribe,Muslim,24.0,149.0,Higher Secondary,Not working,Caste,Muslim,Urban,Maharashtra,0
40.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,34.0,161.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Kerala,1
30.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,27.0,150.4,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Rural,Madhya Pradesh,1
43.0,Secondary or below,Clerical,Caste,Hindu,38.0,146.9,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,150.4,Higher Secondary,Not working,Caste,Hindu,Rural,Arunachal Pradesh,0
40.0,Secondary or below,Agricultural,Caste,Hindu,30.0,158.0,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,0
31.0,Secondary or below,Agricultural,Tribe,Hindu,27.0,157.1,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,1
33.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,32.0,156.6,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Puducherry,0
33.0,Higher Secondary,Services / household and domestic,Caste,Hindu,31.0,162.9,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,34.0,152.1,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,1
42.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,32.0,161.4,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Tamil Nadu,0
35.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25.0,156.2,Secondary or below,Not working,Caste,Muslim,Urban,Chandigarh,0
30.0,Secondary or below,Agricultural,Tribe,Hindu,25.0,152.5,Secondary or below,Not working,Tribe,Hindu,Rural,Meghalaya,1
29.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,21.0,153.4,Higher Secondary,Not working,Tribe,Muslim,Urban,Madhya Pradesh,1
32.0,Secondary or below,Agricultural,Tribe,Hindu,25.0,149.1,Secondary or below,Not working,Tribe,Hindu,Rural,Chhattisgarh,0
38.0,Secondary or below,Sales,Caste,Hindu,34.0,156.3,Secondary or below,Not working,Caste,Hindu,Urban,Rajasthan,0
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Odisha,0
35.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,30.0,151.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Karnataka,0
51.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,47.0,152.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,1
39.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,35.0,140.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Bihar,1
26.0,Secondary or below,Services / household and domestic,Caste,Hindu,25.0,152.0,Higher Secondary,Not working,Caste,Hindu,Urban,Tamil Nadu,1
35.0,Secondary or below,Agricultural,Caste,Hindu,32.0,153.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,0
35.0,Secondary or below,Agricultural,Caste,Hindu,28.0,148.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,0
35.0,Higher Secondary,Professional / technical / managerial,Tribe,Christian,31.0,153.2,Secondary or below,Not working,Tribe,Christian,Rural,Nagaland,0
42.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,151.3,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
28.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22.0,153.5,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,0
44.0,Secondary or below,Agricultural,Caste,Muslim,40.0,150.1,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Uttar Pradesh,1
37.0,Secondary or below,Agricultural,Caste,Hindu,35.0,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
31.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31.0,161.9,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Christian,Rural,Tamil Nadu,0
30.0,Secondary or below,Agricultural,Caste,Hindu,25.0,143.1,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
29.0,Secondary or below,Sales,Caste,Hindu,24.0,150.9,Higher Secondary,Other,Caste,Hindu,Rural,Odisha,0
42.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,159.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Gujarat,1
42.0,Secondary or below,Sales,Caste,Hindu,36.0,147.6,Secondary or below,Not working,Caste,Hindu,Urban,Odisha,0
39.0,Secondary or below,Agricultural,Caste,Hindu,39.0,146.7,Secondary or below,Skilled and unskilled manual,Tribe,No religion,Rural,Dadra & Nagar Haveli And Daman & Diu,0
44.0,Secondary or below,Agricultural,Caste,Hindu,36.0,151.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,0
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,149.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,147.2,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
54.0,Secondary or below,Agricultural,Caste,Hindu,49.0,142.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
27.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,25.0,146.2,Higher Secondary,Not working,Caste,Hindu,Rural,Bihar,0
28.0,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,25.0,152.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
39.0,Secondary or below,Agricultural,Caste,Hindu,37.0,153.9,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
39.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,35.0,141.2,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
46.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,42.0,150.6,Secondary or below,Not working,Caste,Muslim,Rural,Madhya Pradesh,1
46.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,33.0,161.4,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Bihar,0
38.0,Secondary or below,Skilled and unskilled manual,Caste,Jain,34.0,145.2,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,Urban,Nct Of Delhi,0
35.0,Secondary or below,Services / household and domestic,Caste,Christian,31.0,152.3,Higher Secondary,Services / household and domestic,Caste,Christian,Urban,Tamil Nadu,0
28.0,Secondary or below,Agricultural,Caste,Hindu,26.0,155.3,Secondary or below,Not working,Caste,Hindu,Rural,Andhra Pradesh,0
24.0,Secondary or below,Not working,Caste,Hindu,22.0,148.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Chhattisgarh,0
48.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45.0,147.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,0
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31.0,158.5,Secondary or below,Not working,Caste,Hindu,Rural,Tamil Nadu,0
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,149.0,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,1
35.0,Secondary or below,Services / household and domestic,Caste,Hindu,31.0,154.2,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
30.0,Secondary or below,Services / household and domestic,Caste,Muslim,27.0,153.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,1
48.0,Secondary or below,Other,Caste,Hindu,42.0,148.2,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Himachal Pradesh,0
38.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,38.0,147.4,Higher Secondary,Agricultural,Caste,Hindu,Rural,Telangana,1
50.0,Secondary or below,Skilled and unskilled manual,Tribe,Other,24.0,151.7,Secondary or below,Not working,Tribe,Christian,Rural,Arunachal Pradesh,1
44.0,Secondary or below,Skilled and unskilled manual,Caste,Christian,39.0,159.9,Secondary or below,Services / household and domestic,Caste,Christian,Rural,Kerala,1
25.0,Secondary or below,Skilled and unskilled manual,Tribe,Other,18.0,128.7,Secondary or below,Not working,Tribe,Other,Rural,Arunachal Pradesh,0
30.0,Secondary or below,Agricultural,Caste,Buddhist / Neo-Buddhist,22.0,151.2,Secondary or below,Not working,Caste,Buddhist / Neo-Buddhist,Rural,Maharashtra,1
50.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45.0,146.7,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,0
43.0,Secondary or below,Agricultural,Caste,Hindu,41.0,162.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,0
30.0,Secondary or below,Agricultural,Caste,Hindu,23.0,153.3,Secondary or below,Not working,Caste,Hindu,Rural,Andhra Pradesh,1
33.0,Higher Secondary,Sales,Caste,Hindu,31.0,169.8,Higher Secondary,Not working,Caste,Hindu,Rural,Himachal Pradesh,1
33.0,Secondary or below,Clerical,Tribe,Hindu,31.0,156.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Arunachal Pradesh,1
29.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,154.4,Secondary or below,Not working,Caste,Hindu,Urban,Telangana,0
45.0,Secondary or below,Agricultural,Caste,Hindu,44.0,145.5,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
30.0,Secondary or below,Agricultural,Tribe,Christian,21.0,143.4,Secondary or below,Not working,Tribe,Christian,Rural,Nagaland,0
39.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,35.0,157.2,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Tamil Nadu,1
27.0,Secondary or below,Agricultural,Caste,Hindu,27.0,149.6,Secondary or below,Agricultural,Caste,Hindu,Rural,West Bengal,0
42.0,Secondary or below,Agricultural,Tribe,Christian,40.0,154.3,Secondary or below,Agricultural,Tribe,Christian,Rural,Nagaland,0
31.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,29.0,144.7,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
39.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,35.0,142.2,Secondary or below,Not working,Caste,Muslim,Urban,Uttarakhand,1
40.0,Higher Secondary,Skilled and unskilled manual,Caste,Christian,33.0,154.1,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Christian,Rural,Kerala,0
43.0,Higher Secondary,Agricultural,Caste,Hindu,36.0,142.1,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,1
38.0,Secondary or below,Agricultural,Caste,Hindu,36.0,152.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,0
40.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,30.0,163.4,Secondary or below,Not working,Caste,Hindu,Rural,Chhattisgarh,1
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,35.0,147.3,Secondary or below,Not working,Caste,Hindu,Rural,Chhattisgarh,0
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23.0,158.6,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
48.0,Higher Secondary,Don't know,Caste,Hindu,36.0,146.7,Secondary or below,Not working,Caste,Hindu,Urban,Jharkhand,1
44.0,Secondary or below,Not working,Caste,Hindu,39.0,150.7,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,Urban,Maharashtra,0
41.0,Secondary or below,Agricultural,Caste,Hindu,36.0,153.3,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,146.4,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Jharkhand,1
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
39.0,Secondary or below,Sales,Caste,Hindu,35.0,155.8,Secondary or below,Not working,Caste,Hindu,Urban,Andhra Pradesh,1
46.0,Secondary or below,Agricultural,Caste,Hindu,37.0,154.4,Higher Secondary,Sales,Caste,Hindu,Rural,Tamil Nadu,1
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31.0,153.3,Higher Secondary,Not working,Caste,Hindu,Rural,Maharashtra,1
45.0,Secondary or below,Agricultural,Caste,Hindu,38.0,154.2,Secondary or below,Agricultural,Caste,Hindu,Urban,Karnataka,0
45.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,45.0,162.3,Higher Secondary,Not working,Tribe,Christian,Urban,Mizoram,0
41.0,Secondary or below,Agricultural,Caste,Hindu,38.0,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Bihar,1
38.0,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Buddhist / Neo-Buddhist,33.0,156.4,Higher Secondary,Not working,Caste,Buddhist / Neo-Buddhist,Urban,Maharashtra,0
21.0,Secondary or below,Other,Tribe,Hindu,19.0,143.3,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
30.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,25.0,164.0,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Bihar,0
36.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,34.0,157.0,Higher Secondary,Agricultural,Caste,Hindu,Rural,Rajasthan,0
24.0,Secondary or below,Sales,Caste,Hindu,24.0,151.9,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,0
54.0,Secondary or below,Agricultural,Caste,Hindu,46.0,162.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,0
20.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,18.0,151.6,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
30.0,Secondary or below,Other,Caste,Hindu,27.0,155.3,Higher Secondary,Not working,Caste,Hindu,Rural,Chhattisgarh,0
40.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Hindu,30.0,148.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,West Bengal,1
39.0,Higher Secondary,Agricultural,Caste,Hindu,24.0,165.6,Higher Secondary,Not working,Caste,Hindu,Rural,Tamil Nadu,1
45.0,Higher Secondary,Not working,Caste,Hindu,38.0,145.3,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Haryana,1
39.0,Secondary or below,Agricultural,Tribe,Christian,29.0,147.2,Secondary or below,Sales,Tribe,Christian,Urban,Meghalaya,0
22.0,Secondary or below,Agricultural,Tribe,Hindu,20.0,147.1,Secondary or below,Not working,Tribe,Hindu,Rural,Odisha,0
35.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,35.0,140.9,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
50.0,Secondary or below,Agricultural,Caste,Sikh,49.0,152.4,Secondary or below,Not working,Caste,Sikh,Urban,Punjab,0
41.0,Post-Graduate (MBA/MA),Other,Caste,Hindu,34.0,153.2,Higher Secondary,Agricultural,Caste,Hindu,Rural,Sikkim,0
48.0,Secondary or below,Sales,Caste,Muslim,42.0,164.8,Secondary or below,Not working,Caste,Muslim,Urban,Puducherry,0
45.0,Secondary or below,Agricultural,Caste,Hindu,42.0,158.6,Secondary or below,Not working,Tribe,Hindu,Rural,Rajasthan,0
48.0,Secondary or below,Agricultural,Caste,Hindu,42.0,152.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Gujarat,1
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,142.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
43.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,38.0,153.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
32.0,Secondary or below,Other,No caste / tribe,Hindu,23.0,148.8,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,1
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,152.4,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,1
38.0,Secondary or below,Agricultural,Caste,Hindu,27.0,165.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,1
48.0,Graduate (B.Tech/B.Sc/BA),Other,Caste,Hindu,44.0,151.5,Secondary or below,Not working,Caste,Hindu,Urban,Bihar,1
33.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,152.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Haryana,0
23.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,21.0,155.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,0
51.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,47.0,153.9,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,1
25.0,Secondary or below,Sales,Caste,Hindu,23.0,140.9,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Jharkhand,1
36.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,148.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Bihar,0
39.0,Post-Graduate (MBA/MA),Professional / technical / managerial,No caste / tribe,Hindu,43.0,151.2,Higher Secondary,Professional / technical / managerial,No caste / tribe,Hindu,Rural,Sikkim,0
25.0,Secondary or below,Agricultural,Caste,Hindu,22.0,147.3,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
43.0,Secondary or below,Sales,Caste,Hindu,40.0,148.8,Secondary or below,Sales,Caste,Hindu,Rural,Haryana,0
30.0,Secondary or below,Agricultural,Caste,Hindu,29.0,152.4,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Gujarat,1
27.0,Higher Secondary,Services / household and domestic,Caste,Hindu,22.0,152.9,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Assam,0
45.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,36.0,153.5,Higher Secondary,Not working,Caste,Hindu,Urban,Maharashtra,0
39.0,Secondary or below,Not working,Caste,Hindu,25.0,149.2,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,1
38.0,Secondary or below,Agricultural,Caste,Hindu,36.0,149.1,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,0
45.0,Secondary or below,Agricultural,Caste,Christian,43.0,155.4,Secondary or below,Agricultural,Tribe,Christian,Rural,Arunachal Pradesh,0
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,159.9,Secondary or below,Sales,Caste,Hindu,Urban,Telangana,1
39.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,27.0,146.3,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Assam,0
37.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,31.0,159.4,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,0
34.0,Secondary or below,Other,Caste,Muslim,28.0,154.8,Secondary or below,Agricultural,Caste,Muslim,Rural,Jharkhand,0
45.0,Secondary or below,Sales,Caste,Hindu,26.0,152.1,Secondary or below,Not working,Caste,Hindu,Urban,Tamil Nadu,1
35.0,Secondary or below,Not working,Caste,Hindu,30.0,148.6,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,1
45.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,158.8,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
46.0,Higher Secondary,Agricultural,Caste,Hindu,44.0,144.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
43.0,Secondary or below,Agricultural,Caste,Hindu,34.0,153.2,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
29.0,Secondary or below,Agricultural,Caste,Hindu,25.0,150.2,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
35.0,Higher Secondary,Sales,Caste,Hindu,33.0,154.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Punjab,0
35.0,Secondary or below,Agricultural,Caste,Hindu,28.0,156.8,Secondary or below,Not working,Caste,Hindu,Urban,Karnataka,1
32.0,Higher Secondary,Agricultural,Caste,Hindu,27.0,142.8,Secondary or below,Not working,Caste,Hindu,Rural,Manipur,0
35.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,163.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
31.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,154.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Assam,0
40.0,Higher Secondary,Agricultural,No caste / tribe,Muslim,38.0,151.8,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,1
46.0,Secondary or below,Agricultural,Caste,Hindu,40.0,151.4,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
25.0,Secondary or below,Agricultural,Caste,Hindu,29.0,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
39.0,Secondary or below,Agricultural,Tribe,Muslim,35.0,162.7,Secondary or below,Agricultural,No caste / tribe,Muslim,Rural,Ladakh,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,147.2,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Karnataka,1
24.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22.0,163.4,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,1
30.0,Higher Secondary,Agricultural,Caste,Hindu,21.0,152.8,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
28.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,26.0,154.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,0
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,150.6,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
46.0,Secondary or below,Agricultural,Caste,Hindu,35.0,130.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Odisha,0
52.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45.0,147.2,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,0
48.0,Higher Secondary,Not working,Caste,Hindu,35.0,158.5,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Karnataka,0
30.0,Secondary or below,Skilled and unskilled manual,Tribe,Buddhist / Neo-Buddhist,28.0,152.4,Secondary or below,Not working,Tribe,Buddhist / Neo-Buddhist,Rural,Ladakh,1
41.0,Secondary or below,Agricultural,Tribe,Christian,38.0,160.8,Secondary or below,Not working,Tribe,Sikh,Rural,Madhya Pradesh,1
43.0,Secondary or below,Sales,Caste,Hindu,41.0,148.1,Higher Secondary,Not working,Caste,Hindu,Urban,Chhattisgarh,1
46.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,43.0,151.0,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
40.0,Secondary or below,Sales,Caste,Hindu,41.0,145.6,Secondary or below,Sales,Caste,Hindu,Rural,Assam,0
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,23.0,151.5,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
