Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
55,Higher Secondary,Agricultural,Caste,Hindu,49,143.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
40,Secondary or below,Agricultural,Caste,Hindu,35,149.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Sometimes,Sometimes,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
27,Secondary or below,Agricultural,Caste,Hindu,29,150.6,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
45,Secondary or below,Services / household and domestic,Caste,Hindu,38,151.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Sometimes,Never,Sometimes,"Yes, but not in the last 12 months",Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
24,Secondary or below,Agricultural,Caste,Hindu,22,151.6,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Sometimes afraid,1
30,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,29,152.3,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
33,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,33,161.5,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
42,Higher Secondary,Clerical,Caste,Hindu,37,158.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Sometimes,Never,Never,"Yes, but not in the last 12 months",Husband/partner alone,Respondent and husband/partner,Never afraid,1
40,Secondary or below,Services / household and domestic,Caste,Hindu,35,,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
29,Secondary or below,Agricultural,Caste,Hindu,32,155.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Sometimes,Never,Respondent alone,Respondent alone,Sometimes afraid,1
30,Higher Secondary,Professional / technical / managerial,Caste,Hindu,29,152.4,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
34,Secondary or below,Agricultural,Caste,Muslim,30,148.1,Secondary or below,Agricultural,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,35,163.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
35,Secondary or below,Agricultural,Caste,Hindu,35,146.5,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
33,Higher Secondary,Agricultural,Caste,Hindu,26,151.7,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
23,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,18,143.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
33,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,30,159.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,"Yes, but not in the last 12 months",Never,"Yes, but not in the last 12 months",Respondent and husband/partner,Husband/partner alone,Most of the time afraid,1
47,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45,148.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,"Yes, but not in the last 12 months",Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,38,150.2,Higher Secondary,Services / household and domestic,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
35,Secondary or below,Agricultural,Caste,Hindu,28,147.2,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
32,Higher Secondary,Agricultural,Caste,Hindu,29,154.5,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
34,Higher Secondary,Agricultural,Caste,Hindu,28,160.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
32,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32,,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
44,Secondary or below,Agricultural,Caste,Muslim,42,156.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
30,Secondary or below,Agricultural,Caste,Muslim,26,154.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
32,Secondary or below,Agricultural,Caste,Muslim,32,160.3,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,"Yes, but not in the last 12 months",Sometimes,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
22,Secondary or below,Not working,Caste,Muslim,22,152.3,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Husband/partner alone,Sometimes afraid,1
40,Secondary or below,Agricultural,Caste,Hindu,37,139.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,Yes,"Yes, but not in the last 12 months","Yes, but not in the last 12 months",Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
40,Secondary or below,Agricultural,Caste,Hindu,37,161.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Sometimes,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
42,Secondary or below,Agricultural,Caste,Hindu,40,148.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,"Yes, but not in the last 12 months","Yes, but not in the last 12 months",Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
26,Secondary or below,Agricultural,Caste,Hindu,22,191.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
32,Secondary or below,Agricultural,Caste,Hindu,30,147.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
35,Secondary or below,Agricultural,Caste,Hindu,37,152.4,Secondary or below,Professional / technical / managerial,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Secondary or below,Agricultural,Caste,Hindu,38,149.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
30,Secondary or below,Agricultural,Caste,Hindu,23,143.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
31,Secondary or below,Agricultural,Caste,Hindu,28,159.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,Yes,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
51,Secondary or below,Sales,No caste / tribe,Muslim,45,163.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
38,Secondary or below,Agricultural,No caste / tribe,Muslim,36,156.6,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,Yes,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
25,Secondary or below,Agricultural,No caste / tribe,Muslim,30,149.5,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
22,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,21,153.9,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Husband/partner alone,Someone else,Sometimes afraid,1
31,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,29,144.3,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
25,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,24,149.1,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
45,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,34,145.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
48,Secondary or below,Not working,Caste,Muslim,46,146.1,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Someone else,Someone else,Sometimes afraid,0
32,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30,153.2,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
22,Secondary or below,Skilled and unskilled manual,Caste,Muslim,27,156.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
40,Secondary or below,Skilled and unskilled manual,Caste,Muslim,35,164.8,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
30,Secondary or below,Skilled and unskilled manual,Caste,Muslim,22,152.2,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Someone else,Never afraid,0
36,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,30,161.3,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
30,Post-Graduate (MBA/MA),Agricultural,Caste,Muslim,25,151.9,Higher Secondary,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Sometimes afraid,1
36,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,29,152.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
52,Secondary or below,Skilled and unskilled manual,Caste,Muslim,49,138.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Often,Husband/partner alone,Respondent and husband/partner,Sometimes afraid,1
23,Secondary or below,Agricultural,Caste,Muslim,22,154.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Sometimes,"Yes, but not in the last 12 months",Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
34,Post-Graduate (MBA/MA),Clerical,No caste / tribe,Hindu,31,152.3,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
38,Secondary or below,Skilled and unskilled manual,Caste,Hindu,36,136.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent alone,Respondent alone,Sometimes afraid,0
34,Higher Secondary,Professional / technical / managerial,Caste,Muslim,35,149.9,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
42,Secondary or below,Other,Caste,Muslim,34,147.6,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,35,149.4,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent alone,Respondent alone,Never afraid,0
29,Secondary or below,Skilled and unskilled manual,Caste,Muslim,22,150.4,Higher Secondary,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Secondary or below,Professional / technical / managerial,Caste,Muslim,36,158.4,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
42,Higher Secondary,Sales,Caste,Hindu,33,152.7,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
40,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,154.4,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
37,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,143.2,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,41,152.3,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
48,Secondary or below,Skilled and unskilled manual,Caste,Muslim,41,141.7,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
32,Secondary or below,Skilled and unskilled manual,Caste,Muslim,23,144.2,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
28,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25,150.0,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,Yes,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
34,Secondary or below,Skilled and unskilled manual,Caste,Muslim,27,148.2,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
22,Higher Secondary,Agricultural,Caste,Hindu,20,149.2,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
45,Secondary or below,Agricultural,Caste,Hindu,42,,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
45,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,40,149.2,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,No,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
45,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,40,149.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
26,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,24,148.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,36,149.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Uttar Pradesh,Yes,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
50,Post-Graduate (MBA/MA),Sales,Caste,Hindu,45,147.6,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
52,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,46,148.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
29,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28,138.2,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
48,Secondary or below,Skilled and unskilled manual,Caste,Hindu,46,142.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
27,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,138.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
32,Secondary or below,Sales,Caste,Hindu,30,167.8,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
42,Secondary or below,Agricultural,Caste,Hindu,36,154.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Often,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
35,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,33,153.9,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
30,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,28,156.6,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
48,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,42,158.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
33,Secondary or below,Agricultural,Caste,Hindu,31,150.4,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Respondent alone,Respondent alone,Sometimes afraid,1
38,Secondary or below,Skilled and unskilled manual,Caste,Muslim,37,155.9,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,"Yes, but not in the last 12 months",Respondent and husband/partner,Respondent alone,Sometimes afraid,0
28,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24,157.2,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
38,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,160.0,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
44,Secondary or below,Agricultural,Caste,Hindu,38,154.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,Yes,Yes,Often,Often,Often,Often,Respondent alone,Respondent alone,Most of the time afraid,1
30,Post-Graduate (MBA/MA),Clerical,Caste,Muslim,30,157.0,Higher Secondary,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,Yes,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
28,Secondary or below,Skilled and unskilled manual,Caste,Muslim,28,157.5,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
48,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Hindu,45,151.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Sometimes afraid,1
38,Higher Secondary,Agricultural,Caste,Hindu,37,150.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
24,Post-Graduate (MBA/MA),Not working,Caste,Hindu,24,153.0,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Husband/partner alone,Most of the time afraid,1
30,Graduate (B.Tech/B.Sc/BA),Other,Caste,Hindu,29,152.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
27,Higher Secondary,Not working,Caste,Hindu,27,154.4,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
24,Higher Secondary,Professional / technical / managerial,Caste,Hindu,24,151.3,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
41,Secondary or below,Agricultural,Caste,Hindu,39,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,Yes,Yes,Often,Often,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
41,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40,146.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
36,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,33,153.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
49,Secondary or below,Agricultural,Caste,Hindu,48,157.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
36,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,149.6,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
25,Secondary or below,Agricultural,Caste,Muslim,21,155.1,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
29,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
37,Secondary or below,Skilled and unskilled manual,Caste,Hindu,36,146.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
49,Secondary or below,Agricultural,Caste,Hindu,45,151.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,36,141.6,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Sometimes,Never,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
32,Secondary or below,Sales,Caste,Muslim,25,152.0,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
43,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37,147.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,No,No,Never,Never,Never,Sometimes,Respondent alone,Respondent and husband/partner,Sometimes afraid,0
41,Secondary or below,Skilled and unskilled manual,Caste,Muslim,39,156.4,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,Yes,No,Never,Never,Never,Sometimes,Respondent alone,Respondent and husband/partner,Most of the time afraid,1
28,Secondary or below,Skilled and unskilled manual,Caste,Muslim,23,145.1,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,No,Yes,Never,Never,Sometimes,Sometimes,Respondent and husband/partner,Husband/partner alone,Sometimes afraid,1
