Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
39,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Tribe,Muslim,37,161.2,Higher Secondary,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
45,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Tribe,Muslim,41,154.8,Secondary or below,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
30,Secondary or below,Skilled and unskilled manual,Caste,Muslim,27,158.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
34,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,37,159.4,Higher Secondary,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
43,Secondary or below,Skilled and unskilled manual,Caste,Muslim,41,149.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
40,Secondary or below,Professional / technical / managerial,Tribe,Muslim,38,159.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
37,Secondary or below,Sales,Caste,Muslim,35,148.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
34,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,33,156.4,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
36,Higher Secondary,Sales,Caste,Muslim,35,160.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
42,Higher Secondary,Agricultural,Caste,Muslim,39,159.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Respondent and husband/partner,Never afraid,1
26,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,23,152.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
39,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,38,158.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
35,Higher Secondary,Sales,Caste,Muslim,30,159.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
38,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,34,158.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
28,Higher Secondary,Sales,Caste,Muslim,23,159.6,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
35,Secondary or below,Clerical,Caste,Muslim,33,154.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Respondent and husband/partner,Sometimes afraid,1
29,Secondary or below,Services / household and domestic,Caste,Muslim,28,162.3,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Sometimes,Never,"Yes, but not in the last 12 months",Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
29,Higher Secondary,Agricultural,Caste,Muslim,28,159.4,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Sometimes,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
47,Secondary or below,Agricultural,Caste,Muslim,49,160.5,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Sometimes,Never,Never,"Yes, but not in the last 12 months",Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
30,Secondary or below,Agricultural,Caste,Muslim,28,158.7,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
36,Higher Secondary,Sales,Caste,Muslim,33,162.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Sometimes,Never,"Yes, but not in the last 12 months",Husband/partner alone,Husband/partner alone,Most of the time afraid,1
36,Higher Secondary,Agricultural,Caste,Muslim,32,169.1,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Sometimes,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
25,Secondary or below,Agricultural,Caste,Muslim,24,161.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
30,Secondary or below,Agricultural,Caste,Muslim,23,157.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
